Year, Price, Miles
2015, 22990, 63500
2015, 25900, 125055
2015, 26990, 68382
2015, 23490, 61470
2015, 23390, 72830
2015, 24990, 38947
2015, 22990, 99950
2015, 19890, 80030
2015, 27498, 40000
2015, 22490, 80063
2015, 24900, 74811
2015, 27890, 40384
2015, 23690, 44302
2015, 19990, 114468
2015, 21980, 28617
2015, 22490, 82661
2015, 22212, 46747
2015, 21755, 62660
2015, 26500, 47500
2015, 18990, 120933
2015, 21490, 60210
2015, 26990, 57000
2015, 25890, 71658
2015, 21990, 69670
2015, 26890, 92088
2015, 20990, 104858
2015, 21500, 111772
2015, 19990, 66000
2015, 24990, 65908
2015, 21990, 27800
2015, 24900, 30652
2015, 22990, 64500
2015, 24890, 52892
2015, 26800, 59859
2015, 23900, 61613
2015, 18854, 91593
2015, 26490, 58000
2015, 20900, 90316
2015, 24900, 39734
2015, 23900, 69400
2015, 19790, 125700
2015, 25990, 91129
2015, 25999, 62766
2015, 24990, 40986
2015, 24490, 59290
2015, 36500, 9500
2015, 39950, 17812
2015, 18490, 99999
2015, 17990, 103000
2015, 26890, 59082
2015, 19950, 45400
2015, 29500, 34649
2015, 21800, 113500
2015, 19400, 53328
2015, 22490, 23400
2015, 25490, 52345
2015, 26490, 63015
2015, 28900, 46215
2015, 24500, 98446
2015, 28490, 37600
2015, 20990, 138735
2015, 25900, 125055
2015, 23990, 65575
2015, 17490, 141831
2015, 20999, 93220
2015, 17959, 106658
2015, 26790, 75530
2015, 26900, 68998
2015, 19790, 104000
2015, 20990, 103993
2015, 21495, 59377
2015, 24395, 92900
2015, 17400, 113000
2015, 20990, 33000
2015, 22990, 82500
2015, 26900, 68998
2015, 18997, 86781
2015, 20900, 78428
2015, 26990, 39098
2015, 26900, 70124
2015, 22900, 58846
2015, 21990, 79922
2015, 21490, 95984
2015, 27890, 36900
2015, 24990, 57747
2015, 18490, 89700
2015, 20790, 49972
2015, 19950, 73200
2015, 19990, 68700
2015, 25490, 53648
2015, 22990, 65570
2015, 23490, 46135
2015, 19995, 72985
2015, 22890, 86071
2015, 28900, 46215
2015, 26590, 79335
2016, 28690, 49162
2016, 26900, 77083
2016, 27900, 31977
2016, 25990, 47533
2016, 26900, 48952
2016, 26900, 90090
2016, 24690, 31191
2016, 23990, 45028
2016, 28450, 49329
2016, 26499, 27137
2016, 26990, 32337
2016, 28900, 20500
2016, 26990, 52497
2016, 25500, 52215
2016, 26990, 59256
2016, 29900, 53831
2016, 20900, 73927
2016, 27900, 61150
2016, 22990, 40896
2016, 29890, 59000
2016, 31900, 48008
2016, 23990, 62662
2016, 28990, 75010
2016, 21490, 109950
2016, 22850, 52000
2016, 27890, 80000
2016, 19990, 96600
2016, 31900, 26607
2016, 22490, 65000
2016, 24890, 78020
2016, 19900, 123432
2016, 20117, 123000
2016, 27490, 72088
2016, 22900, 47848
