Year, Price, Miles
2009, 13900, 169879
2009, 15400, 174900
2009, 21500, 174000
2009, 17890, 113200
2009, 16490, 137895
2009, 15999, 172000
2009, 15990, 133200
2009, 16490, 157000
2009, 13490, 156767
2009, 14990, 238058
2009, 21900, 109000
2009, 18977, 142037
2009, 15490, 184500
2009, 13990, 207000
2009, 14200, 185000
2009, 24000, 67000
2009, 15900, 180000
2009, 14990, 186643
2009, 15990, 154000
2010, 19900, 115207
2010, 19990, 141328
2010, 19900, 121000
2010, 25450, 96932
2010, 25990, 125000
2010, 19900, 195000
2010, 18990, 133835
2010, 24900, 97978
2010, 29990, 113589
2010, 24990, 84169
2010, 21990, 108208
2010, 24900, 42500
2010, 15900, 220000
2010, 17000, 147000
2010, 18500, 144500
2010, 19890, 129000
2010, 19990, 130000
2010, 25450, 96932
2010, 16400, 180000
2010, 19990, 170000
2010, 29900, 97397
2010, 18699, 186856
2010, 12990, 287118
2010, 20000, 97000
2010, 17000, 166270
2010, 18900, 131000
2010, 18500, 230000
2010, 19990, 125000
2010, 19990, 169000
2010, 15490, 184658
2010, 18000, 196300
2010, 15900, 177000
2011, 21990, 149000
2011, 25900, 112740
2011, 17990, 184300
2011, 22990, 129900
2011, 18900, 171500
2011, 22900, 128000
2011, 24990, 118510
2011, 17000, 172000
2011, 24500, 114400
2011, 22900, 177160
2011, 19900, 156500
2011, 21490, 134950
2011, 21990, 126123
2011, 17200, 137368
2011, 22690, 152000
2011, 20000, 130905
2011, 18000, 177655
2011, 19200, 120800
2011, 13900, 280000
2011, 16900, 175000
2011, 19900, 157000
2011, 19000, 142792
2011, 15990, 177624
2011, 24900, 102000
2011, 25900, 111230
2011, 23000, 130525
2012, 23900, 77700
2012, 29900, 105100
2012, 20990, 181500
2012, 23990, 114890
2012, 39900, 44000
2012, 20980, 146806
2012, 26990, 134000
2012, 24990, 133072
2012, 34990, 91980
2012, 19500, 159000
2012, 23000, 102000
2012, 23000, 100800
2012, 22900, 122000
2012, 19990, 149700
2012, 26990, 92589
2012, 28490, 118500
2012, 26880, 85600
2012, 19990, 157770
2012, 28990, 116000
2012, 19000, 188000
2012, 26900, 99980
2012, 18900, 185000
2012, 19990, 160000
2012, 20000, 144000
2013, 37000, 113400
2013, 24877, 152062
2013, 42490, 89590
2013, 36000, 95000
2013, 39990, 101052
2013, 24900, 97500
2013, 31000, 135000
2013, 33215, 139800
2013, 30500, 142328
2013, 27990, 99000
2013, 44990, 78825
2013, 32900, 116450
2013, 38990, 110000
2013, 29990, 57800
2013, 39900, 155000
2013, 33900, 67500
2013, 36900, 89500
2013, 29900, 92634
2013, 30990, 100000
2013, 31990, 136000
2013, 34993, 41813
2013, 35990, 79104
2013, 17900, 213000
2013, 28990, 102260
2013, 28500, 146000
2013, 36900, 119145
2013, 27990, 189000
2013, 27500, 107851
2014, 45990, 68000
2014, 46990, 46400
2014, 38990, 89887
2014, 32000, 78650
2014, 49990, 62037
2014, 33980, 74300
2014, 31990, 81600
2014, 34990, 72317
2014, 42000, 96000
2014, 29000, 120000
2014, 40500, 117500
2014, 32500, 61000
2014, 38990, 116300
2014, 41900, 79700
2014, 38900, 78400
2014, 32900, 118000
2014, 32500, 110148
2014, 34990, 77000
2014, 46987, 55257
2014, 35990, 75439
2014, 37490, 45100
2014, 37900, 79400
2014, 28990, 154700
2014, 36900, 74300
2014, 37490, 45056
2014, 41900, 68500
2014, 35900, 93700
2014, 34900, 106992
2014, 37000, 93000
2014, 43900, 71400
2014, 25990, 185000
2014, 32898, 122823
2014, 37990, 92500
2014, 32990, 137200
2014, 43990, 37222
2014, 44900, 99800
2014, 40900, 65022
2014, 35590, 34021
2014, 42990, 68284
