Year, Price, Miles
2015, 19900, 114763
2015, 21990, 66405
2015, 19990, 49857
2015, 16490, 86989
2015, 20889, 75320
2015, 20980, 91885
2015, 22889, 61756
2015, 21990, 89930
2015, 17490, 78850
2015, 21590, 69549
2015, 23990, 49931
2015, 19900, 111000
2015, 17690, 131300
2015, 19490, 32426
2015, 25900, 59950
2015, 22490, 71508
2015, 18280, 92133
2015, 21490, 87989
2015, 16500, 110000
2015, 21590, 69650
2015, 19990, 70431
2015, 22900, 66000
2015, 16500, 87600
2015, 17990, 110938
2015, 22900, 21100
2015, 16700, 88222
2015, 24890, 57500
2015, 22490, 55500
2015, 24490, 83404
2015, 13990, 149777
2015, 16990, 103000
2015, 16800, 96000
2015, 15500, 79000
2015, 15500, 60000
2015, 18900, 104000
2015, 20900, 67900
2015, 22990, 77400
2015, 21500, 70000
2015, 22990, 64255
2015, 17490, 59343
2015, 19400, 29880
2015, 19600, 45900
2015, 17490, 60320
2015, 22490, 80650
2015, 17490, 60320
2015, 19990, 24545
2015, 15900, 120000
2015, 25900, 46000
2015, 21990, 54987
2015, 14990, 141151
2016, 21990, 72444
2016, 24290, 54638
2016, 24900, 46543
2016, 22980, 35826
2016, 22990, 60740
2016, 19800, 60500
2016, 17900, 88200
2016, 20900, 56900
2016, 22900, 82900
2016, 21900, 52900
2016, 22490, 90879
2016, 23990, 66350
2016, 23999, 52527
2016, 23900, 66200
2016, 23890, 61135
2016, 19490, 58786
2016, 21499, 58930
2016, 25990, 33762
2016, 25000, 36000
2016, 21990, 99105
2016, 25990, 44960
2016, 21990, 23900
2016, 24890, 79976
2016, 24490, 56000
2016, 23500, 72500
2016, 21680, 50323
2016, 19890, 114352
2016, 19990, 71000
2016, 24990, 59984
2016, 26990, 56500
2016, 23500, 86300
2016, 24290, 75844
2016, 24900, 74660
2016, 25990, 44960
2016, 24990, 59923
2016, 23750, 52053
2016, 17399, 56465
2016, 20790, 40434
2016, 19990, 74850
2016, 28990, 12785
2016, 21900, 48143
2016, 24490, 61603
2016, 22990, 51535
2016, 24500, 54000
2016, 16990, 98044
2016, 24990, 39027
2016, 20990, 59662
2016, 22790, 79708
2016, 23490, 81296
2016, 23990, 85000
2016, 16800, 110092
2016, 21890, 61235
2016, 24900, 52900
2016, 21700, 58800
2016, 18990, 70604
2017, 25990, 31929
2017, 25990, 22588
2017, 24900, 62027
2017, 22790, 89394
2017, 33900, 3000
2017, 26900, 20394
2017, 24990, 21500
2017, 22490, 33330
2017, 24490, 45325
2017, 26900, 43901
2017, 26900, 20501
2017, 26900, 47184
2017, 33990, 12867
2017, 24490, 46367
2017, 28990, 28900
2017, 25490, 30307
2017, 22900, 80741
2017, 21490, 99800
2017, 28990, 34381
2017, 25990, 26519
2017, 24490, 85185
2017, 23490, 62684
2017, 22990, 46500
2017, 18990, 81617
2017, 27790, 26823
2017, 20900, 36422
2017, 28761, 7500
2017, 22900, 20000
2017, 25990, 30000
2017, 20990, 51906
2017, 27900, 33000
2017, 21339, 10000
2017, 17900, 106900
2017, 22990, 9895
2017, 20990, 51906
2017, 34000, 163
2017, 27900, 54992
2018, 33100, 30
2018, 29300, 3520
2018, 33490, 1000
2018, 41500, 16000
2018, 39900, 7000
2018, 27480, 19941
2018, 35500, 50
2018, 36600, 500
2018, 39990, 2000
2018, 32990, 5072
2018, 37500, 5000
2018, 29490, 8750
2018, 41500, 3445
2018, 28600, 400
2018, 31100, 10
2018, 29490, 4000
2018, 33100, 10
2018, 34500, 1047
2018, 24400, 16536
2018, 33100, 10
2018, 41500, 5300
2018, 26990, 17000
2018, 36900, 5500
2018, 31100, 10
2018, 25500, 19966
2018, 33100, 10
2018, 24999, 6382
2018, 41500, 3900
2018, 28990, 10293
2018, 29800, 8808
2018, 41531, 3700
2018, 30900, 19000
2018, 23939, 7500
2018, 39268, 6000
2018, 38880, 1600
2018, 28990, 11768
