Year, Price, Miles
2015, 16550, 93147
2015, 19490, 72418
2015, 22999, 56755
2015, 17990, 101594
2015, 24990, 32896
2015, 17490, 56811
2015, 17990, 84600
2015, 18480, 53119
2015, 21490, 71977
2015, 24750, 31400
2015, 22990, 30713
2015, 17490, 82500
2015, 20900, 49550
2015, 16900, 72328
2015, 17590, 60306
2015, 16900, 82436
2015, 18490, 84381
2015, 16990, 62500
2015, 18000, 86000
2015, 20500, 24276
2015, 17490, 70879
2015, 16999, 100012
2015, 20490, 102212
2015, 14990, 116420
2015, 18490, 94381
2015, 18800, 86751
2015, 15990, 82301
2015, 19999, 86674
2015, 17500, 44556
2015, 17400, 50486
2015, 14600, 102000
2015, 16900, 47439
2015, 17990, 84600
2015, 18999, 49685
2015, 21580, 54996
2015, 13900, 178585
2015, 18490, 69760
2015, 22880, 36599
2015, 19500, 80325
2015, 17490, 72607
2015, 15890, 85243
2015, 20990, 54813
2015, 17900, 63655
2015, 18480, 98441
2015, 17900, 89050
2015, 17980, 30546
2015, 15990, 64930
2015, 21980, 50421
2015, 22490, 25017
2015, 19099, 58870
2015, 16480, 93950
2015, 19490, 64186
2015, 16490, 97785
2015, 23900, 60633
2015, 15990, 101415
2015, 18490, 59169
2015, 17890, 92860
2015, 18490, 47000
2015, 16900, 100853
2015, 16900, 89833
2015, 16490, 122247
2015, 17500, 59000
2015, 16900, 86000
2015, 21900, 59800
2015, 17890, 75507
2015, 17790, 83946
2015, 19990, 57500
2015, 21490, 57736
2015, 14990, 67000
2015, 18490, 54955
2015, 16890, 62863
2015, 20990, 55254
2015, 18990, 92723
2015, 16990, 77424
2015, 20490, 78583
2015, 19490, 67200
2015, 17890, 75507
2015, 17990, 67000
2015, 17490, 65591
2015, 16890, 62863
2015, 15900, 120000
2015, 18900, 55528
2015, 25990, 29951
2015, 16490, 92035
2015, 22900, 15577
2015, 17185, 62200
2015, 18990, 74271
2015, 22900, 86353
2015, 18900, 110236
2015, 20980, 75361
2015, 19680, 51847
2016, 16990, 72500
2016, 19990, 69140
2016, 20490, 9133
2016, 23900, 35500
2016, 23990, 34300
2016, 18522, 74942
2016, 19490, 77083
2016, 17990, 81225
2016, 19490, 49592
2016, 21900, 66050
2016, 17390, 101622
2016, 19900, 66500
2016, 19990, 54000
2016, 17990, 19500
2016, 22390, 74478
2016, 15990, 51500
2016, 17990, 57779
2016, 16990, 41783
2016, 19490, 60950
2016, 19990, 62000
2016, 19690, 55834
2016, 21460, 35883
2016, 24990, 42000
2016, 17990, 66408
2016, 20900, 54000
2016, 18990, 64950
2016, 17490, 86038
2016, 18490, 39500
2016, 21490, 51333
2016, 23490, 26860
2016, 19950, 51425
2016, 20990, 40747
2016, 19990, 35787
2016, 23990, 33391
2016, 22900, 85500
2016, 17490, 62300
2016, 22850, 75000
2016, 20900, 77605
2016, 21990, 54900
2016, 22990, 42407
2016, 17490, 76650
2016, 16290, 102098
2016, 19999, 56885
2016, 19900, 35500
2016, 19490, 56660
2016, 19900, 50100
2016, 20990, 60228
2016, 18490, 66877
2016, 19190, 49556
2016, 20490, 34601
2016, 19999, 108545
2016, 23499, 44691
2016, 19900, 83400
2016, 19990, 35895
2016, 17990, 61718
2016, 23980, 53209
2016, 21499, 53396
2016, 19499, 46252
2016, 17499, 45273
2016, 22480, 54517
2016, 18900, 62490
2016, 22999, 48355
2016, 20880, 33073
2016, 21990, 36500
2016, 22790, 60408
2016, 20490, 56303
2016, 20499, 35063
2016, 18490, 68877
2016, 22499, 32600
2016, 23990, 43574
2016, 27200, 61
2016, 17900, 90785
2016, 18990, 57001
2016, 22800, 78800
2016, 19990, 42947
2016, 19490, 74972
2016, 21500, 26500
2016, 18999, 70172
2016, 18990, 57002
2016, 17999, 85580
2016, 21995, 60136
2016, 19299, 76179
2016, 19799, 34638
2016, 22499, 34649
2016, 19750, 31535
2016, 23499, 21060
2016, 20499, 48521
2016, 17500, 59000
