Year, Price, Miles
2015, 17990, 97431
2015, 17990, 81635
2015, 15990, 63722
2015, 14900, 113774
2015, 21990, 40482
2015, 14900, 94014
2015, 19990, 61100
2015, 18400, 75600
2015, 16690, 88477
2015, 16990, 65783
2015, 19990, 93500
2015, 19490, 90735
2015, 15990, 121232
2015, 18480, 89459
2015, 17990, 55592
2015, 19800, 63444
2015, 16900, 66732
2015, 17490, 66335
2015, 20490, 74279
2015, 18490, 59315
2015, 16500, 123684
2015, 27790, 56449
2015, 17490, 96814
2015, 19990, 41700
2015, 18990, 66263
2015, 21900, 42407
2015, 19990, 72000
2015, 15040, 89313
2015, 13900, 94000
2015, 17490, 57450
2015, 20990, 50000
2015, 13500, 98000
2015, 12000, 145000
2015, 20600, 45974
2015, 14490, 149650
2015, 16900, 107900
2015, 16500, 88700
2015, 20990, 63226
2015, 17490, 81300
2015, 16900, 83668
2015, 17400, 84600
2015, 17490, 69700
2015, 17490, 69700
2015, 18990, 74500
2015, 16500, 91250
2015, 14990, 213600
2015, 18900, 72301
2015, 16990, 57577
2015, 13990, 131500
2016, 23880, 47163
2016, 18499, 71668
2016, 18900, 62240
2016, 17990, 59793
2016, 13900, 144200
2016, 19900, 75000
2016, 22990, 39000
2016, 23990, 66000
2016, 21990, 83300
2016, 18290, 68211
2016, 18990, 104523
2016, 19500, 72800
2016, 22999, 24780
2016, 22000, 58366
2016, 20450, 89610
2016, 16990, 93372
2016, 22990, 55818
2016, 20889, 48810
2016, 21990, 9200
2016, 24790, 38950
2016, 18990, 51390
2016, 20990, 107500
2016, 21490, 53616
2016, 18180, 80334
2016, 22990, 36000
2016, 22490, 31000
2016, 18500, 78500
2016, 18990, 67760
2016, 17490, 125000
2016, 25990, 25525
2016, 20990, 47300
2016, 25900, 62206
2016, 18490, 56986
2016, 21990, 43545
2016, 15990, 78934
2016, 18990, 91220
2016, 14490, 136000
2016, 19990, 85000
2016, 19490, 54000
2016, 19990, 53223
2016, 21990, 42848
2016, 20900, 91367
2016, 26400, 43220
2016, 22900, 63900
2016, 22990, 77719
2016, 16990, 128000
2016, 14590, 146286
2016, 21990, 82785
2016, 24990, 25801
2016, 23990, 40207
2016, 22990, 45893
2016, 24900, 46590
2016, 19990, 46959
2016, 21900, 59954
2016, 22990, 76200
2016, 24990, 46285
2016, 20000, 65000
2016, 23500, 49750
2016, 15650, 115000
2016, 20900, 41765
2016, 19990, 52235
2016, 20900, 87000
2016, 19990, 59430
2016, 19490, 58700
2016, 22990, 33294
2016, 21900, 36600
2016, 18790, 73868
2016, 21980, 11850
2016, 19990, 59430
2016, 19400, 42667
2016, 18990, 66590
2016, 23780, 47339
2016, 22900, 53900
2016, 22990, 64320
2016, 20700, 61596
2016, 23780, 47339
2016, 23780, 47339
2016, 29900, 7000
2016, 18900, 67103
2016, 23780, 47339
2016, 25500, 4500
2016, 23780, 47339
2016, 24990, 49500
2016, 23990, 52959
2016, 19490, 55000
2017, 22350, 84290
2017, 27900, 41300
2017, 19790, 71228
2017, 24490, 35672
2017, 22490, 58600
2017, 25890, 27273
2017, 21900, 76445
2017, 23490, 52100
2017, 32500, 52000
2017, 20990, 76800
2017, 23900, 82500
2017, 24990, 44593
2017, 20990, 74252
2017, 20990, 79433
2017, 19990, 74832
2017, 25499, 19111
2017, 25990, 50860
2017, 16000, 99000
2017, 23490, 47383
2017, 21990, 63920
2017, 31990, 7900
2017, 20390, 73710
2017, 26990, 4868
2017, 25900, 29900
2017, 22900, 67979
2017, 19900, 31647
2017, 34900, 6050
2017, 21980, 65772
2017, 27900, 68000
2017, 27240, 71900
2017, 23150, 47800
2017, 19490, 66000
2017, 24900, 48900
2017, 23490, 36588
2017, 22490, 39706
2017, 29990, 17500
2017, 20990, 73445
2017, 24490, 35900
2017, 28800, 28650
2017, 17500, 109000
2017, 18900, 68000
2017, 23900, 56200
2017, 22900, 72505
2017, 28600, 36415
2017, 25500, 35520
2017, 22990, 29996
2017, 29990, 38445
2017, 19990, 73786
2017, 20490, 79200
2017, 23500, 47950
2017, 25900, 23990
2017, 25990, 42183
2017, 29900, 28000
2017, 24990, 64000
2017, 24900, 37983
2017, 20990, 57578
2017, 22990, 52802
2018, 31790, 12000
2018, 27760, 25500
2018, 38990, 7900
2018, 30900, 7500
2018, 25990, 77113
2018, 29990, 6950
2018, 25990, 8000
2018, 36990, 12020
2018, 27909, 40001
2018, 29990, 6622
2018, 29990, 5844
2018, 36990, 7800
2018, 29990, 7000
2018, 29990, 22133
2018, 33850, 9000
2018, 31490, 22631
2018, 37900, 709
2018, 29900, 16120
2018, 26990, 5400
2018, 31200, 21400
2018, 38250, 7900
2018, 28900, 1620
2018, 30400, 15833
2018, 39990, 15
2018, 29800, 10860
2018, 36890, 10000
2018, 33900, 9900
2018, 32500, 2490
2018, 24750, 29747
2018, 34800, 500
2018, 35900, 1400
2018, 29900, 95
2018, 36500, 13500
2018, 29990, 5000
2018, 28900, 19500
2018, 30490, 500
2018, 36490, 5000
2018, 30900, 2165
2018, 31500, 9850
2018, 39900, 5000
2018, 33900, 500
2018, 39900, 2000
2018, 24490, 27800
2018, 25990, 17786
2018, 28490, 15617
2019, 39990, 5050
2019, 33490, 4256
2019, 39490, 3120
2019, 35955, 15
2019, 34990, 6000
2019, 25990, 23500
2019, 30490, 1500
2019, 37990, 10
2019, 29990, 3500
2019, 29990, 8765
2019, 38833, 1500
2019, 31490, 1000
2019, 28300, 13500
2019, 34099, 4500
2019, 32379, 6500
2019, 35890, 1000
2019, 36650, 1000
2019, 30534, 5000
2019, 30990, 6500
2019, 40490, 2150
2019, 39490, 1500
2019, 35990, 1000
2019, 35900, 15
2019, 33500, 1000
2019, 32661, 2500
2019, 31490, 1000
2019, 36490, 3000
2019, 33500, 3000
2019, 28990, 1500
2019, 40490, 7500
2019, 26999, 22541
2019, 32990, 17421
2019, 37900, 7200
2019, 26990, 12088
2019, 26999, 22584
2019, 29790, 2500
2019, 39000, 10
2019, 32990, 10
2019, 36990, 850
2019, 28990, 3800
2019, 36900, 5890
2019, 36950, 5000
2019, 23890, 18278
2019, 40250, 5700
2019, 35000, 5000
2019, 39890, 4980
2019, 27990, 13340
2019, 31290, 5000
2019, 34990, 10
2019, 37650, 10
2019, 35900, 6490
2019, 32990, 100
2019, 36590, 600
2019, 37990, 4700
2019, 37490, 10
2019, 38490, 9800
2019, 31990, 9000
2019, 36990, 11000
2019, 23990, 19030
2019, 45300, 10
2019, 38480, 3860
2019, 29990, 13200
2019, 37990, 5500
2019, 34590, 4900
2019, 33490, 2000
2019, 36990, 5200
2019, 37900, 5500
2019, 30900, 5000
2019, 30900, 5560
2019, 30800, 4000
2019, 39990, 7500
2019, 29900, 195
2019, 32900, 5000
2019, 38550, 10
2019, 39150, 3000
2019, 41650, 10
2019, 38500, 6000
2019, 24990, 22485
2019, 35380, 12254
2019, 24900, 24958
2019, 24990, 24052
2019, 32900, 5000
2019, 34990, 10
2019, 39980, 5000
2019, 36490, 400
2019, 35650, 10
2019, 38490, 1500
2019, 34990, 10
2019, 35990, 3
2019, 39900, 3
2019, 23990, 19000
2019, 38990, 1500
2019, 32390, 900
2019, 39480, 3860
2019, 38900, 2900
2019, 40290, 5000
