Year, Price, Miles
2015, 21490, 30366
2015, 19490, 98700
2015, 23490, 25768
2015, 22600, 63577
2015, 20490, 72213
2015, 19990, 94384
2015, 24990, 48739
2015, 23990, 61328
2015, 29900, 63390
2015, 23500, 42500
2015, 26990, 48830
2015, 23990, 75122
2015, 23900, 76711
2015, 22990, 17164
2015, 28880, 64500
2015, 32990, 79686
2015, 17590, 106517
2015, 17990, 70847
2015, 26500, 70100
2015, 37990, 4000
2015, 33900, 70014
2015, 18850, 91800
2015, 25950, 40065
2015, 24990, 40500
2015, 39934, 28797
2015, 22990, 92500
2015, 15980, 142629
2015, 25900, 77000
2015, 28900, 60904
2015, 19990, 50346
2015, 17990, 69900
2015, 19900, 52000
2015, 22900, 99000
2015, 19490, 64844
2015, 20900, 89991
2015, 29900, 37790
2015, 20900, 96712
2015, 23900, 36390
2015, 22900, 87000
2015, 24290, 53228
2015, 21900, 42873
2015, 41900, 28130
2015, 21800, 78200
2015, 25990, 57000
2015, 21119, 64102
2015, 24990, 59000
2015, 24990, 37000
2015, 23990, 32980
2015, 21900, 108500
2015, 27000, 39000
2015, 37900, 48657
2015, 24900, 67598
2015, 26950, 46320
2015, 23990, 35700
2015, 22500, 47816
2015, 24990, 80648
2015, 23890, 77192
2015, 23890, 69990
2015, 27990, 51203
2015, 23900, 37400
2015, 20490, 85652
2015, 35999, 53100
2015, 29500, 87650
2015, 23490, 86200
2015, 23900, 109196
2015, 22590, 60223
2015, 21900, 103123
2015, 26900, 31284
2015, 28500, 42000
2015, 23900, 88295
2015, 19900, 65985
2015, 23490, 41517
2015, 22900, 94654
2015, 22450, 78930
2015, 24290, 48507
2015, 22900, 59551
2015, 36495, 67406
2015, 23750, 70000
2015, 27500, 63300
2015, 22600, 55000
2015, 18900, 143000
2015, 30900, 31000
2015, 25950, 33663
2015, 29980, 34600
2015, 29900, 59057
2015, 25990, 59400
2015, 27977, 46078
2015, 18500, 39580
2015, 20990, 37714
2015, 22900, 64876
2015, 21900, 119985
2015, 23900, 85997
2015, 19980, 62000
2015, 19990, 138500
2015, 22950, 72130
2015, 22990, 19028
2016, 27880, 67872
2016, 23900, 69000
2016, 30490, 33445
2016, 25999, 38696
2016, 26989, 50900
2016, 20980, 23687
2016, 18990, 22486
2016, 30490, 73900
2016, 30890, 27872
2016, 33490, 32065
2016, 23900, 40600
2016, 27900, 26621
2016, 28890, 72258
2016, 22950, 73500
2016, 28999, 26186
2016, 24900, 73600
2016, 22980, 39605
2016, 23490, 81063
2016, 28490, 77793
2016, 23900, 30283
2016, 25900, 64190
2016, 26900, 48576
2016, 23400, 38118
2016, 25490, 32379
2016, 27900, 47941
2016, 27990, 21500
2016, 28990, 65645
2016, 24890, 71499
2016, 29490, 45265
2016, 28590, 89543
2016, 24900, 81461
2016, 22880, 48191
2016, 25490, 26000
2016, 26890, 50978
2016, 25890, 54339
2016, 28480, 51824
2016, 21490, 42293
2016, 26900, 40700
2016, 26900, 38262
2016, 22490, 78942
2016, 20400, 85316
2016, 27990, 73559
2016, 29900, 21277
2016, 25890, 77172
2016, 30499, 13514
2016, 21990, 35756
2016, 20400, 59958
2016, 24900, 44500
2016, 28500, 34450
2016, 21890, 43180
2016, 22990, 15081
2016, 27900, 62500
2016, 26630, 23750
2016, 21590, 56379
2016, 25990, 42240
2016, 26290, 67567
2016, 24990, 27896
2016, 34490, 43345
2016, 28900, 27690
2016, 25990, 32076
2016, 27490, 23219
2016, 20990, 28430
2016, 19480, 75195
2016, 25990, 31017
2016, 24990, 39430
2016, 24900, 32450
2016, 19490, 76305
2016, 26490, 27989
2016, 25900, 51417
2016, 30990, 56192
2016, 26490, 42361
2016, 22900, 61439
2016, 27490, 59976
2016, 40990, 22900
2016, 24990, 59800
2016, 23350, 22750
