Year, Price, Miles
2015, 31980, 79130
2015, 40790, 61511
2015, 31490, 108147
2015, 37800, 57000
2015, 29980, 85500
2015, 37900, 47620
2015, 34900, 62183
2015, 29750, 76957
2015, 29990, 111118
2015, 34990, 117165
2015, 36800, 69990
2015, 39990, 74500
2015, 30995, 76755
2015, 37990, 31449
2015, 31999, 88432
2015, 36990, 66512
2015, 29990, 99105
2015, 37500, 47302
2015, 36990, 66256
2015, 36900, 66000
2015, 39400, 28000
2015, 36900, 63000
2015, 32480, 100500
2015, 37990, 43343
2015, 32900, 128256
2015, 33780, 68500
2015, 37890, 61084
2015, 40890, 29990
2015, 37000, 57900
2015, 32500, 98150
2015, 39900, 40200
2015, 34900, 74905
2015, 34917, 78587
2015, 35800, 90698
2015, 35900, 86593
2015, 30490, 89250
2015, 32900, 101818
2015, 35900, 37427
2015, 31990, 77789
2015, 30000, 84000
2015, 30990, 104441
2015, 35900, 81946
2015, 36900, 83329
2015, 36900, 45904
2015, 33990, 103716
2015, 33900, 33480
2016, 64900, 20900
2016, 33900, 48666
2016, 39990, 46500
2016, 41900, 35413
2016, 39990, 71042
2016, 34690, 75839
2016, 41990, 54282
2016, 38990, 57418
2016, 39500, 57098
2016, 37900, 74300
2016, 40880, 68298
2016, 32500, 95100
2016, 35990, 40857
2016, 30990, 72177
2016, 38900, 46983
2016, 35400, 83800
2016, 37880, 26231
2016, 37980, 62350
2016, 39900, 79000
2016, 30300, 64811
2016, 39900, 48540
2016, 38680, 57527
2016, 64900, 4687
2016, 36900, 41500
2016, 29990, 145844
2016, 39900, 35167
2016, 32990, 115760
2016, 34900, 100891
2016, 39900, 65675
2016, 36790, 94706
2016, 42000, 23999
2016, 35900, 26000
2016, 30990, 114650
2016, 36590, 77334
2016, 30750, 78500
2016, 40900, 63454
2016, 35990, 52467
2016, 36990, 31530
2016, 39900, 49901
2016, 36900, 43734
2016, 55990, 32688
2016, 38900, 60033
2016, 27990, 111397
2016, 37900, 43000
2016, 34500, 48800
2016, 30100, 96000
2016, 36800, 73950
2016, 32990, 110454
2016, 60500, 10500
2016, 36390, 68946
2016, 27490, 173240
2016, 40990, 42492
2016, 35990, 44000
2016, 42990, 41407
2016, 36990, 76352
2016, 37990, 69267
2016, 35500, 55007
2016, 35990, 82929
2016, 38500, 75494
2016, 36990, 50405
2016, 32900, 74484
2016, 35980, 90611
2016, 31900, 90000
2016, 33900, 60956
2016, 34900, 65600
2016, 34800, 73790
2016, 44900, 48000
2016, 29990, 132797
2016, 37890, 79586
2016, 37890, 56787
2016, 35990, 40857
2016, 38490, 63490
2016, 35714, 54451
2016, 36500, 97500
2016, 39500, 88732
2016, 35890, 83500
2016, 32900, 94000
2016, 33800, 71080
2016, 35000, 25000
2016, 36000, 43000
2016, 37900, 45000
2016, 38900, 33600
2016, 34900, 68648
2016, 33900, 99700
2016, 39900, 69000
2016, 34990, 56592
2016, 34900, 87886
2016, 34990, 70300
2016, 35790, 75150
2016, 39980, 44167
2016, 35300, 67646
2016, 42940, 36535
2016, 43890, 27200
2016, 30490, 65098
2016, 35990, 73683
2016, 27990, 108505
2017, 56990, 14514
2017, 50999, 97701
2017, 37900, 31111
2017, 39450, 37900
2017, 43900, 26250
2017, 43900, 54842
2017, 42890, 40224
2017, 47900, 53832
2017, 39890, 38943
2017, 47900, 77648
2017, 51990, 18466
2017, 41990, 77728
2017, 42890, 50820
2017, 43999, 26752
2017, 45990, 50927
2017, 56989, 39700
2017, 57500, 22662
2017, 41790, 28400
2017, 30900, 88837
2017, 39900, 44140
2017, 37990, 28676
2017, 45900, 17317
2017, 58490, 24040
2017, 44890, 24268
2017, 42690, 48020
2017, 42990, 41100
2017, 42900, 44982
2017, 34000, 38500
2017, 42990, 36530
2017, 39890, 41203
2017, 49900, 26000
2017, 43500, 22450
2017, 48900, 40000
2017, 42450, 34500
2017, 39990, 79990
2017, 42990, 37200
2017, 43750, 17381
2017, 41490, 26500
2017, 39900, 51900
2017, 43990, 16754
2017, 47490, 16700
2017, 43900, 28580
2017, 44900, 23346
2017, 41500, 53600
2017, 38490, 41600
2017, 35900, 77097
2017, 39900, 64900
2017, 63900, 35000
2017, 41900, 54438
2017, 37490, 131438
2017, 64990, 54500
2017, 42900, 46000
2017, 43990, 30487
2017, 40990, 66081
2017, 42490, 60387
2017, 37990, 47490
2017, 46900, 42230
2017, 47900, 18981
2017, 42990, 60052
2017, 39999, 30458
2017, 38100, 54612
2017, 43890, 50517
2017, 44990, 10308
2017, 35880, 52800
2017, 48990, 32282
2017, 44800, 28316
2017, 47900, 43950
2017, 47800, 24400
2017, 48900, 22690
2017, 47900, 14595
2017, 41990, 85758
2017, 42890, 8394
2017, 63800, 31190
2017, 41900, 27510
2017, 41490, 40064
2017, 39990, 40500
2017, 41390, 48169
2017, 37500, 42882
2017, 44990, 18842
2017, 44500, 38000
2017, 49900, 47859
2017, 41000, 35000
2017, 44900, 41733
2017, 45980, 8236
2017, 46900, 41659
2017, 43500, 32290
2017, 42990, 58407
2017, 37500, 78900
2017, 57200, 10100
2017, 45490, 29290
2017, 41500, 37500
2017, 44900, 78000
2017, 39000, 69000
2017, 49000, 20500
2017, 50800, 35000
2017, 40980, 51811
2018, 46990, 17180
