Year, Price, Miles
2015, 47990, 45428
2015, 39990, 105000
2015, 72900, 55966
2015, 44890, 111871
2015, 39490, 102400
2015, 37890, 86200
2015, 89000, 48000
2015, 46880, 50000
2015, 39900, 22000
2015, 89900, 43300
2015, 43000, 28000
2015, 48980, 49664
2015, 42990, 47200
2015, 37900, 86116
2015, 44790, 70618
2015, 32990, 143674
2015, 33990, 127800
2015, 45999, 44585
2015, 38300, 83416
2015, 51900, 31233
2015, 49000, 21800
2015, 42990, 75565
2015, 42900, 48601
2015, 49900, 63671
2015, 40990, 111370
2015, 41990, 77250
2015, 47890, 44780
2015, 39500, 70800
2015, 36480, 66380
2015, 50800, 66000
2015, 39900, 48550
2015, 41990, 26945
2015, 38990, 95201
2016, 43900, 83990
2016, 51900, 39357
2016, 44900, 58700
2016, 40900, 60200
2016, 75880, 26964
2016, 45900, 86464
2016, 45890, 64571
2016, 49890, 69500
2016, 49990, 23400
2016, 52900, 51210
2016, 46990, 65065
2016, 49450, 62170
2016, 42400, 93199
2016, 41900, 85953
2016, 38990, 95194
2016, 63990, 18381
2016, 42900, 74256
2016, 37950, 73200
2016, 44450, 42500
2016, 44880, 76500
2016, 38990, 106819
2016, 51490, 80000
2016, 43969, 64560
2016, 44900, 55752
2016, 39890, 101551
2016, 51900, 47920
2016, 39500, 58500
2016, 47900, 33518
2016, 55900, 26709
2016, 43900, 76500
2016, 75000, 14391
2016, 42900, 89000
2016, 47900, 59826
2016, 69990, 47500
2016, 46900, 78502
2016, 34500, 100656
2016, 69000, 111000
2016, 47590, 80666
2016, 49890, 49597
2016, 39500, 119990
2016, 46390, 92702
2016, 56000, 16500
2016, 63900, 26000
2016, 62900, 24490
2016, 46800, 65370
2016, 49900, 50319
2016, 52900, 42208
2016, 54000, 39000
2016, 49000, 54854
2016, 54000, 30000
2016, 54790, 28050
2016, 45900, 79500
2016, 39990, 93600
2016, 51900, 87645
2016, 41990, 66795
2016, 55900, 57690
2016, 36500, 125492
2016, 48990, 26023
2016, 43900, 53980
2016, 39900, 119000
2016, 49990, 47489
2016, 46900, 80700
2016, 38490, 96641
2016, 53900, 53500
2016, 49900, 96190
2016, 41990, 82000
2016, 84900, 6395
2016, 59980, 48690
2016, 51990, 74500
2016, 39400, 43000
2016, 49990, 34083
2016, 74980, 58684
2016, 54900, 25112
2016, 49900, 45500
2016, 54900, 66091
2016, 51500, 40834
2016, 36990, 112670
2016, 43900, 44979
2016, 44990, 126000
2016, 50000, 56000
2016, 40800, 60879
2016, 49500, 46000
2016, 34900, 116000
2016, 46890, 12434
2016, 39500, 57578
2016, 48990, 35940
