Year, Price, Miles
2009, 8990, 106186
2009, 8000, 144300
2009, 6900, 112856
2009, 6950, 152966
2009, 6800, 184900
2009, 5500, 194400
2009, 8990, 102100
2009, 6600, 156000
2009, 7600, 134557
2009, 5350, 204000
2009, 6750, 145783
2009, 7990, 156525
2009, 9450, 132119
2009, 5500, 216000
2009, 7490, 123000
2009, 7990, 109000
2009, 6990, 138100
2009, 8300, 157800
2009, 9590, 79000
2009, 11980, 79158
2009, 7690, 96521
2009, 6000, 182000
2009, 6700, 158000
2009, 6300, 167000
2009, 5200, 204000
2009, 6700, 165000
2009, 7490, 147430
2009, 5290, 195521
2009, 5990, 210805
2009, 8500, 109500
2009, 7990, 111000
2009, 9800, 76390
2009, 6200, 141000
2009, 6990, 133466
2009, 8490, 139200
2009, 6300, 186000
2009, 5500, 185050
2009, 7900, 194000
2009, 4490, 223000
2009, 9900, 135133
2010, 7999, 133950
2010, 6750, 163000
2010, 8390, 187716
2010, 7990, 179153
2010, 6990, 182666
2010, 8800, 109000
2010, 7990, 120000
2010, 7390, 156500
2010, 8490, 121000
2010, 6489, 206789
2010, 9790, 70450
2010, 9990, 159989
2010, 9990, 133786
2010, 7950, 133469
2010, 8990, 162800
2010, 7390, 144000
2010, 5900, 156170
2010, 7600, 159000
2010, 7490, 166400
2010, 10990, 107659
2010, 9468, 118042
2010, 7800, 155060
2010, 6600, 156000
2010, 7000, 106500
2010, 7500, 89000
2010, 10500, 125000
2010, 11500, 86700
2010, 7500, 138000
2010, 7100, 103286
2010, 6999, 178766
2010, 8900, 95500
2010, 9990, 105200
2010, 8990, 102370
2010, 7990, 162000
2010, 6990, 181438
2010, 11490, 121158
2010, 7990, 155387
2010, 7900, 154419
2010, 5490, 235301
2010, 9490, 75600
2010, 10490, 101843
2010, 9990, 123800
2010, 8990, 179000
2010, 8490, 160000
2010, 6990, 154369
2010, 9590, 128500
2010, 6900, 175000
2010, 7249, 142350
2011, 8999, 105000
2011, 9490, 122139
2011, 8990, 150466
2011, 11900, 108900
2011, 9990, 86000
2011, 6470, 217000
2011, 6590, 162000
2011, 10900, 93800
2011, 12490, 87600
2011, 9500, 108550
2011, 10900, 93800
2011, 8890, 131407
2011, 8990, 154900
2011, 9990, 104042
2011, 9200, 96500
2011, 9300, 87000
2011, 7990, 139000
2011, 11000, 95000
2011, 10200, 71000
2011, 9650, 137500
2011, 8480, 105941
2011, 8990, 128500
2011, 11250, 115000
2011, 9300, 107300
2011, 7480, 133002
2011, 11480, 75509
2011, 8990, 95813
2011, 11990, 140268
2011, 11800, 140168
2011, 11990, 51487
2011, 7990, 156000
2011, 8990, 130500
2011, 8990, 137920
2011, 9499, 99471
2011, 9890, 157300
2011, 10690, 88217
2011, 8990, 126477
2011, 9590, 92254
2011, 9990, 103979
2011, 9790, 111965
2011, 9900, 132503
2011, 8490, 156000
2011, 9900, 141950
2011, 9800, 125700
2011, 9900, 133500
2011, 9990, 132894
2011, 7490, 166700
2011, 8250, 122000
2011, 8900, 123600
2011, 7500, 162000
2011, 9990, 81650
2011, 8500, 145000
2011, 6650, 217000
2011, 10500, 72484
2011, 7490, 158000
2011, 9500, 130000
2011, 6490, 160000
2011, 10000, 130000
2011, 5200, 146000
2011, 7990, 144059
2011, 11450, 88000
2011, 8900, 172500
2011, 8490, 127000
2011, 9990, 108500
2011, 6990, 169968
2011, 7990, 135807
2011, 8290, 120500
2011, 7890, 162978
2011, 6680, 223559
2011, 6490, 163015
2011, 7990, 158312
2011, 9490, 125500
2011, 7300, 170500
2011, 8490, 168300
2011, 9490, 137231
2011, 8780, 167000
2011, 10500, 49154
2011, 9990, 178041
2011, 10500, 128000
2011, 9990, 91200
2011, 8990, 139000
2011, 9990, 160797
2011, 8990, 103998
2012, 10480, 125900
2012, 11990, 98594
2012, 12990, 94266
2012, 10490, 96043
2012, 7530, 160500
2012, 9990, 114100
2012, 10790, 97600
2012, 8990, 137895
2012, 7900, 190000
2012, 10900, 125300
2012, 11900, 132722
2012, 13490, 99806
2012, 9490, 140771
2012, 12990, 110623
2012, 10490, 102015
2012, 9900, 121596
2012, 10900, 74500
2012, 9799, 91763
2012, 11490, 72054
2012, 7000, 145000
2012, 7800, 174680
2012, 10200, 104500
2012, 8990, 126839
2012, 9990, 112163
2012, 13490, 99837
2012, 9400, 149500
2012, 9800, 123000
2012, 10599, 131674
2012, 10590, 127714
2012, 9990, 116004
2012, 14500, 69250
2012, 8980, 147937
2012, 8490, 131243
2012, 9250, 109000
2012, 9900, 95700
2012, 9900, 151200
2012, 9900, 122000
2012, 8600, 132000
2012, 10990, 104350
2012, 11490, 106725
2012, 11490, 103000
2012, 9489, 136998
2012, 11990, 108090
2012, 12680, 86760
2012, 12990, 115000
2012, 12900, 60000
2012, 9980, 113920
2012, 8990, 125300
2012, 9990, 126128
2012, 13990, 70000
2012, 11990, 93631
2012, 9500, 130000
2012, 8990, 144367
2012, 8990, 125225
2012, 10900, 124902
2012, 9450, 122500
2012, 8990, 128000
2012, 8990, 143800
2012, 10480, 88813
2012, 11690, 86705
2012, 10500, 119000
2012, 10950, 101000
2012, 9950, 89987
2012, 8990, 119960
2012, 10990, 105000
2012, 7990, 145500
2012, 8900, 118888
2012, 7990, 147963
2012, 10750, 62617
2012, 10890, 96500
2012, 10450, 99550
2012, 12490, 63530
2012, 11490, 103730
2012, 9400, 165778
2012, 11400, 109990
2012, 8900, 120300
2012, 8990, 151120
2012, 9990, 90000
2012, 8900, 163200
2012, 9500, 164260
2012, 9990, 140000
2012, 8900, 149000
2012, 9500, 85520
2012, 8690, 111000
2012, 8500, 172800
2012, 8590, 139000
2012, 9500, 115000
2012, 9750, 124000
2012, 9400, 82000
2012, 15200, 79000
2012, 10000, 109000
2012, 7500, 151200
2012, 8500, 130000
2012, 9400, 133000
2012, 11500, 68000
2012, 9200, 139000
2013, 13900, 71236
2013, 12089, 80600
2013, 10980, 114643
2013, 10490, 139509
2013, 12990, 89102
2013, 12900, 123700
2013, 9700, 167900
2013, 11789, 80568
2013, 10392, 127900
2013, 11990, 129947
2013, 10490, 123640
2013, 10900, 132450
2013, 11490, 91723
2013, 12990, 76648
2013, 9490, 132177
2013, 13000, 62500
2013, 12490, 92196
2013, 8499, 88582
2013, 9290, 131052
2013, 12000, 82700
2013, 13490, 53000
2013, 8300, 143237
2013, 13500, 76500
2013, 10990, 112979
2013, 11900, 93195
2013, 10500, 127000
2013, 11499, 115928
2013, 11490, 115000
2013, 10999, 90307
2013, 11999, 97603
2013, 13990, 71680
2013, 11990, 106746
2013, 11970, 62500
2013, 10999, 100900
2013, 13299, 55659
2013, 13477, 74297
2013, 12600, 64200
2013, 12990, 97962
2013, 10490, 129355
2013, 11990, 90300
2013, 12990, 107025
2013, 13499, 87125
2013, 9990, 118127
2013, 10890, 113393
2013, 10500, 88000
2013, 11400, 124500
2013, 9500, 117000
2013, 14000, 110000
2013, 11000, 83500
2013, 11900, 115400
2013, 11500, 94500
2013, 11900, 99000
2013, 11890, 72820
2013, 11990, 99670
2013, 11980, 96385
2013, 10500, 125000
2013, 11000, 80818
2013, 12990, 39800
2013, 7970, 141798
2013, 13290, 92965
2013, 13979, 61760
2013, 10490, 128500
2013, 9990, 131500
2013, 12990, 77230
2013, 10580, 112174
2013, 10985, 102315
2013, 12900, 62687
2013, 13489, 56000
2013, 15400, 85352
2013, 10990, 102364
2013, 9980, 156837
2013, 10990, 124084
2013, 10990, 91945
2013, 13500, 80000
2013, 10990, 126519
2013, 9490, 134900
2013, 12990, 66800
2013, 11290, 97625
2013, 11990, 94125
2013, 8490, 123893
2013, 10890, 118000
2013, 12890, 117083
2013, 10900, 110000
2013, 10790, 122500
2013, 11790, 97264
2013, 12790, 69394
2013, 11990, 95192
2013, 12790, 69880
2013, 12470, 105352
2013, 12490, 30225
2013, 10500, 127500
2013, 8450, 140821
2013, 9990, 133315
2013, 8390, 154200
2013, 11990, 77000
2013, 10900, 124000
2014, 13490, 141406
2014, 12990, 91661
2014, 14880, 69357
2014, 16890, 78664
2014, 13490, 83610
2014, 14990, 109000
2014, 12990, 73297
2014, 16990, 45940
2014, 13490, 34790
2014, 12490, 88866
2014, 16500, 73803
2014, 11990, 115135
2014, 11990, 98143
2014, 10763, 125543
2014, 12490, 100051
2014, 12590, 101125
2014, 12425, 117397
