Year, Price, Miles
2009, 10990, 138612
2009, 3000, 227264
2009, 7342, 176000
2009, 7990, 273000
2009, 5980, 184129
2009, 7900, 153293
2010, 10750, 141564
2011, 8299, 150513
2011, 13999, 63631
2012, 7690, 209000
2012, 8990, 191000
2013, 13500, 138000
2013, 14990, 109040
2014, 18990, 53352
2014, 16900, 109750
2014, 14490, 127000
2014, 15490, 100730
2014, 18999, 82908
2014, 15490, 124177
2014, 17690, 93675
2014, 14480, 101498
2014, 16500, 72000
2014, 14999, 100665
2014, 15980, 84956
2014, 13900, 109000
2014, 13990, 100207
2014, 15000, 96000
2014, 14000, 137800
2014, 14500, 90607
2014, 16500, 90400
2014, 14900, 105000
2014, 15900, 51100
2014, 16500, 87712
2014, 17900, 83000
2014, 14490, 91922
2014, 14990, 99000
2014, 18100, 60000
2014, 14899, 100665
2015, 15980, 97639
2015, 15990, 108132
2015, 20490, 53640
2015, 16490, 78507
2015, 18590, 67136
2015, 15990, 127959
2015, 17990, 71215
2015, 18490, 70241
2015, 17790, 84094
2015, 17500, 71437
2015, 15990, 118259
2015, 17800, 84178
2015, 15000, 107000
2015, 15000, 83500
2015, 16999, 105856
2015, 16990, 76756
2015, 17900, 61939
2015, 19490, 68200
2015, 18100, 45300
2015, 17999, 92102
2015, 18499, 91580
2015, 17490, 93816
2015, 18299, 110950
2015, 18499, 91380
2015, 17980, 85870
2015, 18990, 53210
2015, 18980, 40000
2015, 18490, 82179
2015, 13990, 100457
2015, 18299, 117882
2015, 19999, 77493
2015, 16990, 70000
2015, 13990, 129584
2015, 16900, 101894
2015, 18999, 90227
2015, 16999, 89513
2015, 14890, 136000
2015, 22390, 67126
2015, 18799, 93595
2015, 16990, 92617
2015, 17400, 91000
2015, 17990, 55760
2015, 19900, 70000
2015, 17300, 89300
2015, 17499, 70000
2015, 19900, 49000
2015, 18900, 71000
2015, 18990, 52900
2015, 18490, 57000
2015, 15990, 136000
2015, 14990, 102260
2015, 13490, 116667
2015, 17980, 65000
2015, 19500, 60004
2015, 15900, 93085
2015, 17725, 68482
2015, 14990, 137114
2015, 15300, 95862
2015, 17900, 76900
2015, 22490, 47200
2015, 17990, 72500
2015, 16490, 76176
2015, 15990, 106170
2015, 17990, 89605
2015, 18990, 68500
2015, 21500, 60104
2015, 20990, 38000
2015, 12990, 184800
2015, 15990, 80261
2015, 17990, 68370
2015, 17390, 81734
2015, 16990, 85000
2015, 16500, 104187
2015, 18490, 84357
2015, 19500, 78500
2015, 18990, 63000
2015, 19303, 34878
2015, 16900, 92000
2015, 18990, 65188
2015, 17990, 97192
2015, 16990, 82778
2015, 17990, 93083
2015, 16990, 107250
2015, 16990, 82778
2015, 18290, 80100
2015, 19500, 60010
2015, 18490, 46952
2015, 16990, 61987
2015, 19990, 46436
2015, 17990, 51000
2015, 17490, 118401
2015, 17900, 88518
2015, 19490, 29708
2015, 17490, 90926
2015, 17800, 90120
2015, 16990, 87100
2016, 20980, 48055
2016, 18490, 82229
2016, 18490, 56237
2016, 19990, 38149
2016, 20990, 35766
2016, 20900, 73271
2016, 20990, 66939
2016, 22400, 24113
2016, 17490, 52630
2016, 18490, 76214
2016, 18900, 64730
2016, 17490, 68563
2016, 19900, 59595
2016, 19940, 45000
2016, 18490, 76000
2016, 18990, 69700
2016, 18990, 56647
2016, 24990, 7600
2016, 24990, 4422
2016, 19900, 60706
2016, 18990, 68429
2016, 15900, 89054
2016, 18290, 69608
2016, 26990, 10
2016, 19290, 38388
2016, 19490, 65970
2016, 16900, 106058
2016, 17990, 69208
2016, 22800, 40000
2016, 16790, 95414
2016, 18490, 36000
2016, 19990, 57390
2016, 18900, 57823
2016, 18890, 64222
2016, 20000, 66000
2016, 19480, 54860
2016, 19890, 40065
2016, 17990, 80000
2016, 19990, 70972
2016, 18299, 78591
2016, 19490, 63000
2016, 18390, 71338
2016, 18999, 73816
2016, 18990, 89160
2016, 16290, 107697
2016, 21490, 19861
2016, 19999, 63675
2016, 18890, 69607
2016, 19990, 59067
2016, 20990, 44382
2016, 18990, 64686
2016, 20490, 72068
2016, 20990, 35505
2016, 19299, 83214
2016, 19990, 92498
2016, 23900, 54442
2016, 19990, 74200
2016, 18799, 86386
2016, 20890, 52150
2016, 19990, 63952
2016, 21499, 36750
2016, 25300, 46102
2016, 18790, 52402
2016, 17990, 106950
2016, 18990, 61628
2016, 21999, 22450
2016, 22400, 32133
2016, 17990, 77418
2016, 19990, 43567
2016, 18990, 76413
2016, 19999, 49339
2016, 21999, 22116
2016, 20990, 55867
2016, 18900, 72000
2016, 19850, 72000
2016, 17990, 48000
2016, 18600, 62800
2016, 19900, 49000
2016, 19500, 41000
2016, 19990, 57000
2016, 19490, 32617
2016, 17990, 92519
2016, 21990, 39000
2016, 18990, 61008
2016, 19990, 67610
2016, 21900, 25325
2016, 21490, 37300
2016, 19990, 66300
2016, 20900, 64100
2016, 21990, 51082
2016, 16900, 55990
2016, 20990, 69957
2016, 18990, 52550
2016, 15990, 106302
2016, 15490, 109825
2016, 18900, 53372
2017, 23500, 20442
2017, 28990, 37143
2017, 23290, 36332
2017, 23900, 24359
2017, 23390, 23479
2017, 25900, 13209
2017, 19900, 69810
2017, 22900, 35903
2017, 23990, 11152
2017, 27990, 33791
2017, 22500, 22985
2017, 24900, 22360
2017, 16463, 100980
2017, 23312, 26156
2017, 20900, 53733
2017, 21990, 17389
2017, 21990, 27700
2017, 20900, 25429
2017, 22990, 20970
2017, 24290, 35188
2017, 19500, 49177
2017, 18890, 60310
2017, 25900, 26400
2017, 18900, 75266
2017, 21950, 49548
2017, 22990, 42000
2017, 23990, 28902
2017, 18900, 68889
2017, 24490, 25206
2017, 19955, 35109
2017, 18990, 74900
2017, 18900, 66660
2017, 22900, 20201
2017, 22900, 22900
2017, 22990, 33258
2017, 22900, 43078
2017, 23900, 26868
2017, 17990, 101500
2017, 21900, 32180
2017, 22590, 84000
2017, 20990, 28000
2017, 20770, 50000
2017, 24990, 37800
2017, 22900, 30000
2017, 22900, 25790
2017, 21900, 36625
2017, 25305, 10500
2017, 19200, 61488
2017, 28527, 9000
2017, 22406, 14950
2017, 23990, 27277
2017, 22980, 25252
2017, 23490, 27667
2017, 22990, 22133
2017, 23990, 29805
2017, 19890, 60064
2017, 22890, 31209
2017, 25990, 28883
2017, 19990, 72180
2017, 19990, 88271
2017, 22700, 35921
2017, 24490, 29208
2017, 22989, 22000
2017, 25490, 26150
2017, 21999, 61545
2017, 18890, 89613
2017, 22590, 28733
