Year, Price, Miles
2009, 19950, 140000
2009, 9990, 350000
2010, 31990, 55240
2010, 19500, 180001
2010, 27500, 63785
2010, 24990, 141742
2010, 23500, 140200
2010, 24880, 162300
2010, 24200, 85000
2010, 18990, 138600
2010, 21990, 142000
2011, 26590, 129500
2011, 22099, 192897
2011, 27980, 153800
2011, 19990, 264900
2011, 18490, 220000
2011, 27900, 103449
2011, 28400, 18000
2011, 26800, 119999
2011, 29900, 57900
2011, 24980, 133200
2012, 31990, 129200
2012, 25890, 96388
2012, 23900, 131117
2012, 29900, 74378
2012, 29980, 121641
2012, 32500, 102000
2012, 26990, 141122
2012, 25400, 145518
2012, 30900, 71000
2012, 23000, 144000
2012, 34900, 45900
2012, 27990, 150000
2012, 25900, 117000
2012, 26900, 174872
2013, 26900, 168700
2013, 35990, 88652
2013, 29990, 78544
2014, 29990, 84380
2014, 35900, 129000
2014, 33500, 117000
2014, 28300, 182000
2015, 33490, 78535
2015, 35990, 126068
2015, 43900, 30001
2015, 36490, 103985
2015, 35900, 97200
2015, 37900, 65359
2015, 33900, 90000
2015, 32900, 97000
2015, 37900, 79691
2015, 44000, 45000
2015, 39990, 71429
2016, 35490, 24867
2016, 37193, 69736
2016, 31900, 103904
2016, 39900, 46000
2016, 34990, 66190
2016, 28500, 82500
2016, 40500, 39500
2016, 44901, 63556
2016, 43990, 14500
2016, 33990, 113139
2016, 37500, 92544
2016, 32690, 60068
2016, 37000, 55000
2016, 39900, 34982
2017, 36990, 42096
2017, 38500, 28500
2017, 99999, 9800
2017, 38990, 45337
2017, 46990, 53497
2017, 51929, 15314
2017, 43900, 33350
2017, 48490, 49953
2017, 47990, 8230
2017, 60900, 6000
2017, 39500, 58252
2017, 57900, 4534
2017, 42990, 52776
2017, 42990, 38245
2018, 44000, 6198
2018, 39900, 7000
2018, 57490, 23829
2018, 60490, 8150
2018, 65990, 7560
2018, 71671, 6329
2018, 36990, 69269
2018, 75500, 10
2018, 66260, 20
2018, 63400, 6000
2018, 38000, 6850
2018, 56900, 20
2018, 35900, 18353
2018, 57800, 8000
2018, 43000, 2600
2018, 38000, 5950
2018, 43900, 29432
2019, 56000, 4200
2019, 68990, 7800
2019, 64980, 5000
2019, 64980, 4950
2019, 56900, 8990
2019, 58980, 45
2019, 38470, 10
2019, 51000, 23000
2019, 65980, 6850
2019, 51900, 100
