Year, Price, Miles
2009, 8990, 156929
2009, 7500, 166902
2009, 10900, 124000
2009, 6990, 209374
2009, 9900, 143199
2009, 6990, 176178
2009, 9990, 70000
2009, 10900, 80508
2009, 8990, 60851
2009, 8350, 178500
2009, 6600, 171000
2009, 8000, 232400
2009, 9800, 159000
2009, 5590, 235000
2009, 6900, 161000
2009, 11000, 100000
2009, 10900, 107000
2010, 10490, 88346
2010, 6990, 238000
2010, 9600, 127322
2010, 8990, 128000
2010, 13990, 114150
2010, 14950, 105000
2010, 9990, 114786
2010, 12500, 59000
2010, 10990, 104687
2010, 12900, 88164
2010, 13900, 83319
2010, 10990, 140000
2010, 8500, 210000
2010, 10300, 139416
2010, 10900, 114000
2010, 9490, 158700
2010, 9290, 126400
2010, 10500, 54000
2010, 8900, 195000
2010, 9000, 161000
2010, 9900, 123000
2010, 8300, 188200
2010, 8995, 149500
2010, 7990, 185994
2010, 9800, 157000
2010, 9990, 107076
2010, 8490, 156000
2010, 9900, 128109
2010, 8900, 177000
2010, 9990, 121000
2010, 9990, 159024
2010, 8490, 199570
2010, 8900, 145000
2010, 8500, 154000
2010, 10690, 108300
2010, 10901, 148101
2010, 7900, 220000
2010, 12500, 122900
2010, 10990, 161000
2011, 10500, 104800
2011, 11990, 128140
2011, 11980, 149900
2011, 12900, 75652
2011, 15990, 67962
2011, 10400, 106846
2011, 8490, 173000
2011, 11495, 126986
2011, 12990, 99900
2011, 11490, 114000
2011, 11290, 111236
2011, 10901, 140001
2011, 11000, 122500
2011, 9490, 160281
2011, 10900, 160446
2011, 13690, 92797
2011, 10850, 148500
2011, 11990, 125800
2011, 10990, 147400
2011, 10500, 150000
2011, 10700, 137000
2011, 8700, 163164
2011, 10990, 172200
2011, 11990, 98000
2011, 8990, 186250
2011, 10500, 133649
2011, 11990, 64207
2011, 10900, 162000
2011, 7700, 215000
2011, 14000, 68780
2011, 9900, 144000
2011, 10490, 153800
2011, 9700, 128098
2011, 11290, 133372
2012, 13690, 105700
2012, 13990, 125762
2012, 13490, 104900
2012, 12900, 108000
2012, 12580, 112299
2012, 15490, 79386
2012, 11248, 107200
2012, 11470, 110475
2012, 12900, 113000
2012, 10990, 165000
2012, 9990, 161655
2012, 13300, 93000
2012, 11990, 156056
2012, 14900, 125000
2012, 12490, 138431
2012, 11990, 156857
2012, 11990, 136900
2012, 12490, 151662
2012, 12900, 125400
2012, 13990, 53134
2012, 15490, 93489
2012, 11900, 109000
2012, 13490, 92650
2012, 14990, 92469
2012, 12900, 105449
2012, 14890, 47250
2012, 11990, 126900
2012, 12490, 109500
2012, 12300, 105550
2012, 10490, 159000
2012, 10900, 152704
2012, 9500, 172300
2012, 10900, 135624
2012, 10900, 136600
2012, 11800, 103000
2012, 10000, 145000
2012, 7790, 171000
2012, 13990, 93197
2012, 10500, 101600
2012, 13990, 89500
2012, 10500, 120765
2012, 12900, 124915
2012, 12990, 90400
2012, 12200, 90101
2012, 12669, 110302
2012, 11300, 99000
2012, 12990, 98909
2012, 11900, 90000
2012, 12100, 204970
2013, 17470, 75967
2013, 16990, 82500
2013, 13990, 108209
2013, 14900, 130200
2013, 12989, 135000
2013, 11980, 119900
2013, 13890, 81143
2013, 16900, 93710
2013, 11990, 115230
2013, 12490, 150807
2013, 16490, 76200
2013, 14490, 88902
2013, 16990, 94000
2013, 12800, 125000
2013, 14990, 137960
2013, 15500, 92500
2013, 16000, 80053
2013, 14290, 116500
2013, 14480, 118500
2013, 13990, 128042
2013, 13900, 136275
2013, 12990, 126005
2013, 15990, 116750
2013, 17750, 58813
2013, 15490, 94996
2013, 15990, 114325
2013, 13900, 107150
2013, 14990, 98578
2013, 22900, 95349
2013, 14490, 81823
2013, 15990, 85376
2013, 18999, 28800
2013, 14900, 90085
2013, 16990, 99760
2013, 14990, 89894
2013, 14990, 106000
2013, 13990, 111258
2013, 17900, 95723
2013, 14900, 149000
2013, 10500, 146766
2013, 13500, 87000
2013, 11990, 105500
2013, 18000, 37000
2013, 13800, 102000
2013, 13990, 112800
2013, 11980, 160000
2013, 14500, 110000
2013, 11490, 173100
2013, 14900, 126595
2013, 15700, 91800
2013, 14490, 134500
2013, 11990, 120207
2013, 11990, 131333
2013, 14990, 108634
2013, 12500, 148500
2013, 16490, 104162
2013, 13900, 100998
2013, 14990, 112419
2013, 12990, 134000
2013, 11900, 120000
2013, 12590, 149054
2014, 13990, 112716
