Year, Price, Miles
2009, 12800, 132000
2009, 15490, 81300
2009, 9789, 154000
2009, 8400, 232862
2009, 8990, 204000
2009, 8990, 175622
2009, 12100, 115000
2009, 13480, 40950
2009, 10600, 96720
2009, 10750, 141360
2009, 11490, 115350
2009, 8990, 180000
2009, 10990, 152700
2009, 10000, 120300
2009, 12390, 84849
2009, 8900, 179669
2009, 8990, 142000
2009, 9990, 149000
2009, 9490, 183450
2009, 9980, 170500
2009, 9990, 141800
2009, 9990, 159800
2009, 10990, 112909
2009, 9490, 166000
2009, 9890, 162743
2009, 8750, 143230
2009, 9990, 158000
2009, 10300, 131000
2009, 12990, 94560
2009, 6800, 264000
2009, 7500, 205000
2009, 5800, 245000
2009, 11500, 147400
2009, 8500, 203600
2009, 10500, 110000
2009, 13900, 110000
2009, 8500, 148400
2009, 9900, 180338
2009, 10300, 131942
2009, 11900, 141269
2009, 7990, 140141
2009, 9490, 175000
2009, 11850, 108980
2009, 8990, 152636
2009, 11990, 98000
2009, 9990, 212763
2009, 9490, 191169
2009, 10990, 84000
2009, 8200, 169000
2010, 15990, 95800
2010, 13990, 140416
2010, 9990, 174600
2010, 11490, 112401
2010, 11200, 142000
2010, 12490, 94230
2010, 8900, 201450
2010, 8999, 138000
2010, 14900, 88230
2010, 11989, 89000
2010, 10990, 100000
2010, 9500, 185000
2010, 8990, 205000
2010, 10500, 100000
2010, 7900, 203000
2010, 8490, 190000
2010, 12990, 97230
2010, 8990, 227000
2010, 12290, 91270
2010, 10990, 142400
2010, 12900, 134000
2010, 10950, 135000
2010, 11990, 152668
2010, 8990, 198780
2010, 9990, 171000
2010, 11990, 113578
2010, 10990, 168500
2010, 12990, 60000
2010, 10990, 155150
2010, 9990, 125000
2010, 9490, 150300
2010, 10900, 176000
2010, 9600, 189000
2010, 10500, 165000
2010, 12200, 136000
2010, 9500, 173000
2010, 11500, 126000
2010, 9890, 163000
2010, 13490, 85000
2010, 9900, 163000
2010, 10500, 129000
2010, 12990, 79687
2010, 11500, 155300
2010, 7900, 214151
2010, 9990, 154330
2010, 12890, 144800
2010, 10990, 155568
2010, 10190, 157900
2010, 12490, 110700
2010, 11990, 96900
2010, 13990, 84000
2010, 10990, 168000
2010, 9490, 194646
2010, 11900, 187500
2010, 11990, 134933
2010, 12990, 112800
2010, 11990, 110700
2010, 13490, 99595
2010, 11390, 153304
2010, 9990, 104200
2010, 12990, 103500
2010, 9790, 148706
2010, 11990, 117000
2011, 12490, 129628
2011, 12990, 149992
2011, 11500, 133000
2011, 12799, 132000
2011, 10490, 134700
2011, 13480, 84494
2011, 11990, 114200
2011, 13450, 64532
2011, 14990, 63000
2011, 10990, 141300
2011, 11990, 137000
2011, 12800, 104900
2011, 13900, 115244
2011, 12990, 117080
2011, 9490, 179524
2011, 10999, 129878
2011, 18990, 74316
2011, 12490, 141674
2011, 13990, 137375
2011, 12490, 102302
2011, 13990, 95976
2011, 13900, 122000
2011, 7400, 215000
2011, 9450, 174000
2011, 13500, 161000
2011, 10900, 133500
2011, 12490, 127000
2011, 12990, 133000
2011, 13290, 152578
2011, 16990, 89711
2011, 19500, 53700
2011, 12390, 160000
2011, 11990, 137657
2011, 12750, 69037
2011, 10400, 156159
2011, 11490, 99965
2011, 9900, 161150
2011, 9400, 162592
2011, 10970, 168541
2011, 13600, 172431
2011, 15490, 63456
2011, 11990, 139000
2011, 13600, 114098
2011, 13490, 132314
2011, 17000, 93674
2011, 13900, 107065
2011, 15490, 23157
2011, 10780, 152000
2011, 13490, 148203
2011, 14990, 74660
2011, 12990, 122167
2011, 13490, 106311
2011, 15390, 79960
2011, 13990, 70990
2011, 12990, 148536
2011, 12490, 134097
2011, 13390, 157800
2011, 8000, 180000
2011, 11500, 171330
2011, 14000, 93000
2011, 12000, 136000
2011, 14500, 135000
2011, 11500, 146500
2011, 11990, 102000
2011, 9800, 184600
2011, 13000, 126500
2011, 11600, 90800
2011, 12000, 128820
2011, 13900, 84400
2011, 10000, 200000
2011, 12500, 174000
2011, 10900, 133000
2011, 9900, 191700
2011, 10690, 131013
2011, 13999, 88040
2011, 12990, 139000
2011, 10900, 153018
2011, 11990, 123300
2011, 11990, 152288
2011, 11490, 104200
2011, 12990, 177550
2011, 8400, 209529
2011, 8200, 195437
2011, 8490, 185000
2011, 13490, 150000
2011, 14280, 114802
2011, 13490, 125000
2011, 8900, 177600
2011, 14950, 73843
2011, 14280, 114802
2011, 14280, 114802
2011, 10999, 174582
2011, 11990, 99200
2011, 11500, 153000
2011, 13970, 86248
2011, 12490, 105000
2012, 14990, 113690
2012, 16890, 72925
2012, 14900, 124758
2012, 13200, 89950
2012, 12218, 101652
2012, 13489, 125800
2012, 10700, 160886
2012, 14990, 114344
2012, 15990, 95000
2012, 11800, 127700
2012, 10990, 178000
2012, 14990, 114245
2012, 12980, 103636
2012, 14581, 92200
2012, 13690, 148847
2012, 14990, 120000
2012, 15990, 82512
2012, 15990, 96691
2012, 15900, 132000
2012, 17480, 91300
2012, 13989, 93100
2012, 12990, 135124
2012, 13504, 88709
2012, 13990, 87562
2012, 12090, 135754
2012, 14590, 98000
2012, 9900, 162000
2012, 15200, 115500
2012, 14900, 136700
2012, 14990, 98127
2012, 16500, 94595
2012, 11600, 170450
2012, 14990, 103465
2012, 8990, 208873
2012, 10500, 143783
2012, 15990, 52300
2012, 13990, 146000
2012, 15690, 33685
2012, 16989, 72317
2012, 12490, 154427
2012, 15900, 78851
2012, 13490, 83000
2012, 15990, 112000
2012, 11990, 126352
2012, 16290, 50000
2012, 13000, 63000
2012, 10950, 157000
2012, 17900, 105000
2012, 11900, 132000
2012, 11950, 138600
2012, 16000, 70000
2012, 15300, 118000
2012, 12490, 84269
2012, 12590, 136722
2012, 9800, 231189
2012, 11980, 132940
2012, 15990, 73635
2012, 13590, 120800
2012, 14900, 130304
2012, 12280, 134136
2012, 13500, 64200
2012, 11490, 144100
2012, 13900, 84820
2012, 16590, 114500
2012, 13990, 100000
2012, 11990, 103240
2012, 13970, 118620
2012, 15250, 99200
2012, 12500, 171529
2012, 14990, 105800
2012, 12490, 86082
2012, 11888, 140001
2012, 17990, 91715
2012, 12690, 110500
2012, 16490, 100615
2012, 16290, 67252
2012, 10990, 161000
2012, 9900, 205852
2012, 14490, 145803
2012, 10490, 131500
2012, 16100, 142300
2012, 12990, 115550
2012, 13500, 145218
2012, 12990, 173036
2012, 12990, 153305
2012, 14990, 127000
2012, 12990, 112000
2012, 13990, 102125
2012, 12900, 153972
2012, 13990, 86823
2012, 16479, 97210
2012, 14990, 103120
2012, 11990, 123345
2012, 15890, 81835
2012, 15990, 81628
2012, 17800, 85138
2013, 15990, 84000
2013, 13990, 177510
2013, 13590, 128500
2013, 12890, 120000
2013, 18990, 65502
2013, 17990, 90041
2013, 16900, 78092
2013, 14980, 104200
2013, 18490, 89648
2013, 13490, 131272
2013, 14980, 124200
2013, 13690, 134421
2013, 14990, 131000
2013, 15980, 62812
2013, 17990, 112590
2013, 14990, 116197
2013, 13990, 89818
2013, 15990, 47674
2013, 15990, 94386
2013, 16600, 72005
2013, 12990, 106650
2013, 17565, 61122
2013, 14490, 109000
2013, 12290, 129305
2013, 14490, 137000
2013, 12490, 127506
2013, 13990, 103394
2013, 11800, 126040
2013, 14490, 132099
2013, 16990, 136791
2013, 16990, 78500
2013, 18900, 116000
2013, 11990, 100011
2013, 13990, 109437
2013, 16290, 86775
2013, 13990, 122340
2013, 14769, 117397
2013, 12910, 105184
2013, 16499, 101333
2013, 14706, 106675
2013, 15995, 101689
